# processors,average,error bar,run1,run2,run3

 1,2.63293052,0.00443003,2.63871104,2.63022954,2.62985098
 4,0.659826347,0.000691145,0.66070284,0.65945565,0.65932055
 8,0.339411367,0.014438265,0.32966346,0.33003065,0.35853999
12,0.22207435,0.001866025,0.21987459,0.22274182,0.22360664
16,0.177676067,0.011435015,0.17948401,0.16533708,0.18820711
20,0.141020317,0.003337035,0.14043102,0.13797793,0.14465200
24,0.119788973,0.002298645,0.11980101,0.11748431,0.12208160
28,0.112583547,0.008591565,0.11119243,0.12187067,0.10468754
32,0.0991386433,0.007533485,0.09407458,0.10914155,0.09419980
36,0.128908983,0.023132195,0.12253588,0.15522773,0.10896334
40,0.100929153,0.006159825,0.09619741,0.10851706,0.09807299
44,0.131934183,0.011581385,0.11667306,0.13983583,0.13929366
48,0.122201967,0.01091675,0.10945832,0.12585576,0.13129182
