# processors,average,error_bar,run1,run2,run3,avg_elapsed

 1,263.534394237,0.17580915,263.99328068,262.96823965,263.64166238,423.79333333
 4,65.999742857,0.127499105,65.95973544,66.14724567,65.89224746,106.346666667
 8,33.196091093,0.22729251,33.06117024,33.49084403,33.03625901,33.563333333
12,22.6455417,0.33364296,22.88804981,22.82781140,22.22076389,23.043333333
16,17.3670168,0.674328485,18.21615778,17.01739181,16.86750081,17.816666667
20,13.736464637,0.25119017,14.07124851,13.56927723,13.56886817,14.256666667
24,11.818222323,0.455496075,11.46929085,12.38028300,11.60509312,12.396666667
28,10.642419333,0.017667125,10.63956229,10.62618073,10.66151498,11.34
32,9.56856822,0.242599875,9.42908153,9.88091144,9.39571169,10.483333333
36,8.83655035,0.30227012,8.60187209,8.70136663,9.20641233,9.693333333
40,8.07486397,0.30741461,8.52247579,7.90764657,7.79446955,9.04
44,7.392815987,0.243044105,7.32360269,7.18437853,7.67046674,8.483333333
48,6.879060563,0.3281509,6.73253965,7.28047192,6.62417012,8.076666667
