#processors,average,error bar,run1,run2,run3

 1,2632.12456027,3.474263615,2630.10241074,2629.66137142,2636.60989865
 4,662.878379647,4.945926105,659.84564451,659.44882111,669.34067332
 8,332.809445547,1.09373081,333.65995290,331.47249128,333.29589246
12,223.102744143,4.493676635,219.94557806,228.93293133,220.42972304
16,168.287796967,0.62469284,168.28300198,167.66550162,168.91488730
20,136.02093491,0.322542455,136.40181492,135.90425980,135.75673001
24,115.47406004,0.692643055,115.88420027,114.57634687,115.96163298
28,107.226512533,0.62561619,106.66579247,107.09672028,107.91702485
32,95.339398023,1.036320195,94.86667162,94.53944103,96.61208142
36,85.38137609,0.515851735,84.91495858,85.28250764,85.94666205
40,78.426818857,1.012333245,79.67537926,77.95436454,77.65071277
44,72.589149587,1.14792349,71.39125081,73.68709779,72.68910016
48,68.97826971,2.872642195,72.54616610,66.80088171,67.58776132

