#header line: GPU processors,avg,error_bar,run1,run2,run3

 1,2.6331577,0.00326551,2.63610675,2.63379062,2.62957573
 4,2.717320503,0.113625685,2.64357606,2.64056704,2.86781841
 8,2.728990063,0.11612927,2.67602599,2.87160137,2.63934283
12,2.66815236,0.017746515,2.66057345,2.65419530,2.68968833
16,2.71962901,0.05064049,2.78364610,2.68236512,2.69287581
20,2.76349853,0.029042795,2.76501924,2.79178097,2.73369538
24,2.763317513,0.031438935,2.79922949,2.75437143,2.73635162
28,3.03239729,0.036128185,3.03838660,2.99327445,3.06553082
32,3.075369337,0.03485971,3.04520185,3.06598489,3.11492127
36,3.1779742,0.06783399,3.11619694,3.16586074,3.25186492
40,3.195855057,0.0173703,3.18375842,3.18530773,3.21849902
44,3.33596822,0.11302489,3.46531209,3.23926231,3.30333026
48,3.317268047,0.129263375,3.46008944,3.29015201,3.20156269
